date,SPY,IWM,EFA,EEM,AGG,BIL,SHY,IEF,TLT,TIP,LQD,HYG,GLD,DBC
1994-04-21,25.4096755981,,,,,,,,,,,,,
1994-04-22,25.3831653595,,,,,,,,,,,,,
1994-04-25,25.6483993530,,,,,,,,,,,,,
1994-04-26,25.6218624115,,,,,,,,,,,,,
1994-04-28,25.4362144470,,,,,,,,,,,,,
1994-04-29,25.5157814026,,,,,,,,,,,,,
1994-05-02,25.6749095917,,,,,,,,,,,,,
1994-05-03,25.6483993530,,,,,,,,,,,,,
1994-05-04,25.6041831970,,,,,,,,,,,,,
1994-05-05,25.5688133240,,,,,,,,,,,,,
1994-05-06,25.3212890625,,,,,,,,,,,,,
1994-05-09,25.1002388000,,,,,,,,,,,,,
1994-05-10,25.2947425842,,,,,,,,,,,,,
1994-05-11,25.0648670197,,,,,,,,,,,,,
1994-05-12,25.1886577606,,,,,,,,,,,,,
1994-05-13,25.1886577606,,,,,,,,,,,,,
1994-05-16,25.1974925995,,,,,,,,,,,,,
1994-05-17,25.5688133240,,,,,,,,,,,,,
1994-05-18,25.7544937134,,,,,,,,,,,,,
1994-05-19,25.8782863617,,,,,,,,,,,,,
1994-05-20,25.7810077667,,,,,,,,,,,,,
1994-05-23,25.7368144989,,,,,,,,,,,,,
1994-05-24,25.8429069519,,,,,,,,,,,,,
1994-05-25,25.9136333466,,,,,,,,,,,,,
1994-05-26,25.9313125610,,,,,,,,,,,,,
1994-05-27,25.9578266144,,,,,,,,,,,,,
1994-05-31,25.9224662781,,,,,,,,,,,,,
1994-06-01,26.0374164581,,,,,,,,,,,,,
1994-06-02,26.0108909607,,,,,,,,,,,,,
1994-06-03,26.1611785889,,,,,,,,,,,,,
1994-06-06,26.1523323059,,,,,,,,,,,,,
1994-06-07,26.1169700623,,,,,,,,,,,,,
1994-06-08,25.9047889709,,,,,,,,,,,,,
1994-06-09,26.0462455750,,,,,,,,,,,,,
1994-06-10,26.0904521942,,,,,,,,,,,,,
1994-06-13,26.1258182526,,,,,,,,,,,,,
1994-06-14,26.3291702271,,,,,,,,,,,,,
1994-06-15,26.2230644226,,,,,,,,,,,,,
1994-06-16,26.2761173248,,,,,,,,,,,,,
1994-06-17,26.1294498444,,,,,,,,,,,,,
1994-06-20,25.9069595337,,,,,,,,,,,,,
